
[Verification] Tokenizing 'A00':
   Tokens: [4]
----------------------------------------
Starting Training (Split Token Strategy)...
Epoch 335 | Loss: 0.0381808709
Epoch 336 | Loss: 0.0381612553
Epoch 337 | Loss: 0.0381674920
Epoch 338 | Loss: 0.0381679157
Epoch 339 | Loss: 0.0381611321
Epoch 340 | Loss: 0.0381354856
Epoch 341 | Loss: 0.0381446908
Epoch 342 | Loss: 0.0381589276
Epoch 343 | Loss: 0.0381597988
Epoch 344 | Loss: 0.0381624151
Epoch 345 | Loss: 0.0381659115
Epoch 346 | Loss: 0.0381705990
Epoch 347 | Loss: 0.0381740247
Epoch 348 | Loss: 0.0381440713
Epoch 349 | Loss: 0.0381583006
Epoch 350 | Loss: 0.0381595534
Epoch 351 | Loss: 0.0381344147
Epoch 352 | Loss: 0.0381613272
Epoch 353 | Loss: 0.0381617919
Epoch 354 | Loss: 0.0381696409
Epoch 355 | Loss: 0.0381506004
Epoch 356 | Loss: 0.0381776763
Epoch 357 | Loss: 0.0381506491
Epoch 358 | Loss: 0.0381755897
Epoch 359 | Loss: 0.0381566532
Epoch 360 | Loss: 0.0381909647
Epoch 361 | Loss: 0.0382055911
Epoch 362 | Loss: 0.0382425555
Epoch 363 | Loss: 0.0382155727
Epoch 364 | Loss: 0.0382346087
Epoch 365 | Loss: 0.0383375603
Epoch 366 | Loss: 0.0383443457
Epoch 367 | Loss: 0.0384262808
Epoch 368 | Loss: 0.0384247835
Epoch 369 | Loss: 0.0386054319
Epoch 370 | Loss: 0.0392108588
Epoch 371 | Loss: 0.0408877829
Epoch 372 | Loss: 0.0477928697
Epoch 373 | Loss: 0.0644210601
Epoch 374 | Loss: 0.0616367482
Epoch 375 | Loss: 0.0499302324
Epoch 376 | Loss: 0.0436491759
Epoch 377 | Loss: 0.0410198738
Epoch 378 | Loss: 0.0395611534
Epoch 379 | Loss: 0.0389748762
Epoch 380 | Loss: 0.0386044140
Epoch 381 | Loss: 0.0383629235
Epoch 382 | Loss: 0.0382481639
Epoch 383 | Loss: 0.0381971001
Epoch 384 | Loss: 0.0381320372
Epoch 385 | Loss: 0.0381056288
Epoch 386 | Loss: 0.0380821845
Epoch 387 | Loss: 0.0380648653
Epoch 388 | Loss: 0.0380511476
Epoch 389 | Loss: 0.0380345508
Epoch 390 | Loss: 0.0380028995
Epoch 391 | Loss: 0.0380281393
Epoch 392 | Loss: 0.0380221434
Epoch 393 | Loss: 0.0380212107
Epoch 394 | Loss: 0.0380139799
Epoch 395 | Loss: 0.0380145564
Epoch 396 | Loss: 0.0380204758
Epoch 397 | Loss: 0.0380107701
Epoch 398 | Loss: 0.0380112492
Epoch 399 | Loss: 0.0380066751
Epoch 400 | Loss: 0.0379757155
Epoch 401 | Loss: 0.0379853792
Epoch 402 | Loss: 0.0380071361
Epoch 403 | Loss: 0.0380141322
Epoch 404 | Loss: 0.0380096947
Epoch 405 | Loss: 0.0380046460
Epoch 406 | Loss: 0.0379991789
Epoch 407 | Loss: 0.0380039957
Epoch 408 | Loss: 0.0380245597
Epoch 409 | Loss: 0.0380016711
Epoch 410 | Loss: 0.0380264014
Epoch 411 | Loss: 0.0379994146
Epoch 412 | Loss: 0.0380117048
Epoch 413 | Loss: 0.0380164674
Epoch 414 | Loss: 0.0380103197
Epoch 415 | Loss: 0.0380152508
Epoch 416 | Loss: 0.0380295130
Epoch 417 | Loss: 0.0379883350
Epoch 418 | Loss: 0.0380359409
Epoch 419 | Loss: 0.0380471183
Epoch 420 | Loss: 0.0380570305
Epoch 421 | Loss: 0.0380318905
Epoch 422 | Loss: 0.0380223546
Epoch 423 | Loss: 0.0380457779
Epoch 424 | Loss: 0.0380563887
Epoch 425 | Loss: 0.0380428098
Epoch 426 | Loss: 0.0380690393
Epoch 427 | Loss: 0.0380932288
Epoch 428 | Loss: 0.0380894995
Epoch 429 | Loss: 0.0381772429
Epoch 430 | Loss: 0.0382818131
Epoch 431 | Loss: 0.0383030628
Epoch 432 | Loss: 0.0386093297
Epoch 433 | Loss: 0.0391152515
Epoch 434 | Loss: 0.0402860049
Epoch 435 | Loss: 0.0451245983
Epoch 436 | Loss: 0.0563668510
Epoch 437 | Loss: 0.0572237274
Epoch 438 | Loss: 0.0485424078
Epoch 439 | Loss: 0.0432062528
Epoch 440 | Loss: 0.0406928731
Epoch 441 | Loss: 0.0393471256
Epoch 442 | Loss: 0.0385652685
Epoch 443 | Loss: 0.0382918447
Epoch 444 | Loss: 0.0381231946
Epoch 445 | Loss: 0.0380722175
Epoch 446 | Loss: 0.0379934004
Epoch 447 | Loss: 0.0379509853
Epoch 448 | Loss: 0.0379530024
Epoch 449 | Loss: 0.0379245948
Epoch 450 | Loss: 0.0379136014
Epoch 451 | Loss: 0.0378981488
Epoch 452 | Loss: 0.0378977893
Epoch 453 | Loss: 0.0378902127
Epoch 454 | Loss: 0.0379002085
Epoch 455 | Loss: 0.0378769454
Epoch 456 | Loss: 0.0378960188
Epoch 457 | Loss: 0.0378816331
Epoch 458 | Loss: 0.0378870817
Epoch 459 | Loss: 0.0378773546
Epoch 460 | Loss: 0.0379011656
Epoch 461 | Loss: 0.0378689261
Epoch 462 | Loss: 0.0378587960
Epoch 463 | Loss: 0.0378715441
Epoch 464 | Loss: 0.0378827385
Epoch 465 | Loss: 0.0378839302
Epoch 466 | Loss: 0.0378781128
Epoch 467 | Loss: 0.0378894555
Epoch 468 | Loss: 0.0379090861
Epoch 469 | Loss: 0.0378840921
Epoch 470 | Loss: 0.0378815693
Epoch 471 | Loss: 0.0378980501
Epoch 472 | Loss: 0.0378962741
Epoch 473 | Loss: 0.0379054044
Epoch 474 | Loss: 0.0379174729
Epoch 475 | Loss: 0.0379055731
Epoch 476 | Loss: 0.0378794439
Epoch 477 | Loss: 0.0379084984
Epoch 478 | Loss: 0.0378837268
Epoch 479 | Loss: 0.0379092983
Epoch 480 | Loss: 0.0379059059
Epoch 481 | Loss: 0.0379277597
Epoch 482 | Loss: 0.0379055537
Epoch 483 | Loss: 0.0379138945
Epoch 484 | Loss: 0.0379223433
Epoch 485 | Loss: 0.0379419285
Epoch 486 | Loss: 0.0379222136
Epoch 487 | Loss: 0.0379232609
Epoch 488 | Loss: 0.0379374695
Epoch 489 | Loss: 0.0379971571
Epoch 490 | Loss: 0.0380470882
Epoch 491 | Loss: 0.0381887487
Epoch 492 | Loss: 0.0384027406
Epoch 493 | Loss: 0.0388905876
Epoch 494 | Loss: 0.0400423277
Epoch 495 | Loss: 0.0445284831
Epoch 496 | Loss: 0.0515157916
Epoch 497 | Loss: 0.0507210425
Epoch 498 | Loss: 0.0458426587
Epoch 499 | Loss: 0.0420675959
Epoch 500 | Loss: 0.0400163492
Saving to icd10_tokenizer_simple...
Done! Files saved.
